,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,-additional
Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999
292,Trent Taylor,CIN,,28,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,124,,TaylTr02
293,Mitchell Wilcox,CIN,,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,64,,WilcMi01
294,Demetric Felton,CLE,,24,1,0,0,0,0,0,0,0,0,,0,1,0,0,,0,1,0,0,,,,,,,,79,,FeltDe00
295,Jesse James,CLE,,28,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,65,,JameJe00
296,Stephen Anderson,ARI,,29,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,66,,AndeSt01
297,Jonathan Ward,ARI,,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,80,,WardJo00
298,Darrel Williams,ARI,,27,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,81,,WillDa10
299,Maxx Williams,ARI,,28,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,67,,WillMa04
300,Rico Dowdle,DAL,,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,82,,DowdRi01
301,Mike Boone,DEN,RB,27,1,0,0,0,0,0,0,0,0,,0,1,1,2,2.00,0,0,0,0,,,,1.2,1.2,0.7,,73,,BoonMi00
302,Tyrie Cleveland,DEN,,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,125,,ClevTy00
303,KJ Hamler,DEN,,23,1,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,126,,HamlKJ00
304,Eric Saubert,DEN,,28,1,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,68,,SaubEr00
305,Eric Tomlinson,DEN,,30,1,1,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,69,,TomlEr01
306,Quintez Cephus,DET,,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,127,,CephQu00
307,Justin Jackson,DET,,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,83,,JackJu01
308,Kalif Raymond,DET,,28,1,0,0,0,0,0,0,0,0,,0,2,0,0,,0,0,0,0,,,,,,,,128,,RaymKa00
309,Craig Reynolds,DET,,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,84,,ReynCr00
310,Nate Sudfeld,DET,,29,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,36,,SudfNa00
311,Tyler Davis,GNB,TE,25,1,0,0,0,0,0,0,0,0,,0,1,1,3,3.00,0,0,0,0,,,,1.3,1.3,0.8,,53,,DaviTy02
312,Marcedes Lewis,GNB,,38,1,1,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,70,,LewiMa00
313,Amari Rodgers,GNB,,23,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,129,,RodgAm00
314,Chris Conley,HOU,,30,1,0,0,0,0,0,0,0,0,,0,2,0,0,,0,0,0,0,,,,,,,,130,,ConlCh00
315,Phillip Dorsett,HOU,,29,1,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,131,,DorsPh00
316,Dare Ogunbowale,HOU,,28,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,85,,OgunDa00
317,Dan Arnold,JAX,,27,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,132,,ArnoDa00
318,Luke Farrell,JAX,,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,71,,FarrLu00
319,Jamycal Hasty,JAX,,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,86,,HastJa02
320,Chris Manhertz,JAX,,30,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,72,,ManhCh00
321,Chad Henne,KAN,,37,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,1,0,0,,,,,,,,37,,HennCh01
322,Justin Watson,KAN,,26,1,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,133,,WatsJu01
323,Cethan Carter,MIA,,27,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,73,,CartCe00
324,River Cracraft,MIA,,28,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,134,,CracRi00
325,Myles Gaskin,MIA,,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,87,,GaskMy00
326,Mike Gesicki,MIA,TE,27,1,0,0,0,0,0,0,0,0,,0,1,1,1,1.00,0,0,0,0,,,,1.1,1.1,0.6,,57,,GesiMi00
327,Hunter Long,MIA,,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,74,,LongHu00
328,Ben Ellefson,MIN,TE,26,1,0,0,0,0,0,0,0,0,,0,1,1,2,2.00,0,0,0,0,,,,1.2,1.2,0.7,,55,,ElleBe00
329,Jalen Reagor,MIN,,23,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,135,,ReagJa00
330,Irv Smith Jr.,MIN,,24,1,0,0,0,0,0,0,0,0,,0,2,0,0,,0,0,0,0,,,,,,,,75,,SmitIr01
331,Marquez Callaway,NOR,,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,136,,CallMa01
332,Deonte Harty,NOR,WR,25,1,0,0,0,0,0,0,0,0,,0,1,1,4,4.00,0,0,0,0,,,,1.4,1.4,0.9,,116,,HarrDe07
333,Mark Ingram,NOR,RB,33,1,0,0,0,0,0,0,4,22,5.50,0,1,1,1,1.00,0,1,1,0,,,,1.3,2.3,0.8,,71,,IngrMa01
334,Tony Jones,NOR,,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,88,,JoneTo04
335,Adam Trautman,NOR,,25,1,1,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,76,,TrauAd00
336,Lil'Jordan Humphrey,NWE,,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,137,,HumpLi01
337,Matthew Slater,NWE,,37,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,138,,SlatMa00
338,Gary Brightwell,NYG,,23,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,89,,BrigGa00
339,Tanner Hudson,NYG,,28,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,77,,HudsTa00
340,Lawrence Cager,NYJ,,25,1,1,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,139,,CageLa01
341,Justin Hardee,NYJ,,28,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,140,,HardJu01
342,Ty Johnson,NYJ,,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,90,,JohnTy02
343,Jeff Smith,NYJ,,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,141,,SmitJe03
344,C.J. Uzomah,NYJ,,29,1,1,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,78,,UzomC.00
345,Trenton Cannon,TEN,,28,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,91,,CannTr00
346,Tory Carter,TEN,,23,1,1,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,2,,CartTo01
347,Gardner Minshew II,PHI,,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,38,,MinsGa00
348,DeVonta Smith,PHI,,24,1,1,0,0,0,0,0,0,0,,0,4,0,0,,0,0,0,0,,,,,,,,142,,SmitDe07
349,Jack Stoll,PHI,,24,1,1,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,79,,StolJa00
350,Noah Togiai,PHI,,25,1,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,80,,TogiNo00
351,Quez Watkins,PHI,,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,143,,WatkQu00
352,Miles Boykin,PIT,,26,1,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,144,,BoykMi00
353,Gunner Olszewski,PIT,,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,145,,OlszGu00
354,George Pickens,PIT,WR,21,1,1,0,0,0,0,0,0,0,,0,3,1,3,3.00,0,0,0,0,,,,1.3,1.3,0.8,,117,,PickGe00
355,Benny Snell Jr.,PIT,,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,92,,SnelBe00
356,Ameer Abdullah,LVR,,29,1,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,93,,AbduAm00
357,Jesper Horsted,LVR,,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,146,,HorsJe00
358,Jakob Johnson,LVR,RB,28,1,0,0,0,0,0,0,0,0,,0,1,1,1,1.00,0,0,0,0,,,,1.1,1.1,0.6,,75,,JohnJa12
359,Tyron Johnson,LVR,,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,147,,JohnTy03
360,Foster Moreau,LVR,,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,81,,MoreFo00
361,Cam Akers,LAR,RB,23,1,0,0,0,0,0,0,3,0,0.00,0,0,0,0,,0,0,0,0,,,,,,,,94,,AkerCa00
362,Tutu Atwell,LAR,,23,1,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,148,,AtweTu00
363,Jake Funk,LAR,,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,95,,FunkJa00
364,Brycen Hopkins,LAR,,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,82,,HopkBr01
365,Matthew Orzech,LAR,,27,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,83,,OrzeMa00
366,Keir Thomas,LAR,,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,149,,ThomKe04
367,Josh Oliver,BAL,,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,84,,OlivJo00
368,James Proche,BAL,,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,150,,ProcJa00
369,Tylan Wallace,BAL,,23,1,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,151,,WallTy00
370,Jalen Guyton,LAC,,25,1,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,152,,GuytJa01
371,Richard Rodgers,LAC,,30,1,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,85,,RodgRi00
372,DeeJay Dallas,SEA,,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,96,,DallDe00
373,D'Wayne Eskridge,SEA,WR,25,1,0,0,0,0,0,0,0,0,,0,2,1,0,0.00,0,0,0,0,,,,1.0,1.0,0.5,,153,,EskrDW00
374,Penny Hart,SEA,,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,154,,HartPe01
375,Travis Homer,SEA,RB,24,1,0,0,0,0,0,0,1,2,2.00,0,0,0,0,,0,0,0,0,,,,0.2,0.2,0.2,,74,,HomeTr00
376,Kyle Juszczyk,SFO,,31,1,0,0,0,0,0,0,0,0,,0,2,0,0,,0,0,0,0,,,,,,,,4,,JuszKy00
377,Malik Turner,SFO,,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,155,,TurnMa00
378,Charlie Woerner,SFO,,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,86,,WoerCh00
379,Giovani Bernard,TAM,,31,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,97,,BernGi00
380,Jaelon Darden,TAM,WR,23,1,0,0,0,0,0,0,1,2,2.00,0,0,0,0,,0,0,0,0,,,,0.2,0.2,0.2,,118,,DardJa00
381,John Bates,WAS,,25,1,1,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,87,,BateJo00
382,Dyami Brown,WAS,,23,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,156,,BrowDy00
383,Dax Milne,WAS,,23,1,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,157,,MilnDa00
384,Cam Sims,WAS,,26,1,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,158,,SimsCa00
385,Jonathan Williams,WAS,,28,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,98,,WillJo07
386,Breshad Perriman,TAM,WR,29,1,0,0,0,0,0,0,1,-7,-7.00,0,3,0,0,,0,0,0,0,,,-1,-0.7,-0.7,-0.7,,159,,PerrBr02
387,James Cook,BUF,RB,23,1,0,0,0,0,0,0,1,2,2.00,0,0,0,0,,0,1,1,0,,,-2,-1.8,-0.8,-1.8,,99,,CookJa01
