,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,-additional
Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999
169,Marquez Valdes-Scantling,KAN,WR,28,1,1,0,0,0,0,0,1,-3,-3.00,0,4,4,44,11.00,0,0,0,0,,,4,8.1,8.1,6.1,,60,,ValdMa00
170,Alexander Mattison,MIN,RB,24,1,0,0,0,0,0,0,8,36,4.50,0,0,0,0,,0,0,0,0,,,4,3.6,3.6,3.6,,52,,MattAl01
171,Adam Thielen,MIN,WR,32,1,1,0,0,0,0,0,0,0,,0,4,3,36,12.00,0,0,0,0,,,4,6.6,6.6,5.1,,68,,ThieAd00
172,Juwan Johnson,NOR,TE,26,1,0,0,0,0,0,0,0,0,,0,5,2,43,21.50,0,0,0,0,,,4,6.3,6.3,5.3,,20,,JohnJu02
173,Kendrick Bourne,NWE,WR,27,1,0,0,0,0,0,0,0,0,,0,1,1,41,41.00,0,0,0,0,,,4,5.1,5.1,4.6,,61,,BourKe00
174,Braxton Berrios,NYJ,WR,27,1,0,0,0,0,0,0,0,0,,0,6,5,37,7.40,0,0,0,0,,,4,8.7,8.7,6.2,,66,,BerrBr00
175,Breece Hall,NYJ,RB,21,1,0,0,0,0,0,0,6,23,3.83,0,10,6,38,6.33,0,1,1,0,,,4,10.1,11.1,7.1,,48,,HallBr03
176,Zach Gentry,PIT,TE,26,1,0,0,0,0,0,0,0,0,,0,2,2,40,20.00,0,0,0,0,,,4,6.0,6.0,5.0,,21,,GentZa00
177,Tyler Higbee,LAR,TE,29,1,1,0,0,0,0,0,0,0,,0,11,5,39,7.80,0,0,0,0,,,4,8.9,8.9,6.4,,22,,HigbTy00
178,Joshua Kelley,LAC,RB,25,1,0,0,0,0,0,0,4,21,5.25,0,2,2,14,7.00,0,0,0,0,,,4,5.5,5.5,4.5,,53,,KellJo01
179,Elijah Mitchell,SFO,RB,24,1,1,0,0,0,0,0,6,41,6.83,0,0,0,0,,0,0,0,0,,,4,4.1,4.1,4.1,,49,,MitcEl00
180,Chris Godwin,TAM,WR,26,1,1,0,0,0,0,0,0,0,,0,3,3,35,11.67,0,0,0,0,,,4,6.5,6.5,5.0,,69,,GodwCh00
181,Olamide Zaccheaus,ATL,WR,25,1,1,0,0,0,0,0,0,0,,0,4,4,49,12.25,0,1,1,0,,,3,6.9,7.9,4.9,,72,,ZaccOl01
182,Jamison Crowder,BUF,WR,29,1,0,0,0,0,0,0,0,0,,0,4,3,28,9.33,0,0,0,0,,,3,5.8,5.8,4.3,,74,,CrowJa00
183,Tee Higgins,CIN,WR,23,1,1,0,0,0,0,0,0,0,,0,2,2,27,13.50,0,0,0,0,,,3,4.7,4.7,3.7,,78,,HiggTe00
184,Mike Thomas,CIN,WR,28,1,0,0,0,0,0,0,0,0,,0,5,1,5,5.00,0,0,0,0,1,,3,3.5,3.5,3.0,,80,,ThomMi04
185,Mo Alie-Cox,IND,TE,29,1,1,0,0,0,0,0,0,0,,0,2,2,26,13.00,0,0,0,0,,,3,4.6,4.6,3.6,,29,,AlieMo00
186,CeeDee Lamb,DAL,WR,23,1,1,0,0,0,0,0,0,0,,0,11,2,29,14.50,0,0,0,0,,,3,4.9,4.9,3.9,,73,,LambCe00
187,Cooper Rush,DAL,QB,29,1,0,7,13,64,0,0,0,0,,0,0,0,0,,0,0,0,0,,,3,2.6,2.6,2.6,,34,,RushCo00
188,Albert Okwuegbunam,DEN,TE,24,1,0,0,0,0,0,0,0,0,,0,6,5,33,6.60,0,0,0,0,,,3,8.3,8.3,5.8,,25,,OkwuAl00
189,Josh Reynolds,DET,WR,27,1,1,0,0,0,0,0,0,0,,0,3,1,28,28.00,0,0,0,0,,,3,3.8,3.8,3.3,,75,,ReynJo00
190,Josiah Deguara,GNB,TE,25,1,0,0,0,0,0,0,0,0,,0,2,2,28,14.00,0,0,0,0,,,3,4.8,4.8,3.8,,27,,DeguJo00
191,Jordan Love,GNB,QB,24,1,0,4,5,65,0,0,0,0,,0,0,0,0,,0,0,0,0,,,3,2.6,2.6,2.6,,33,,LoveJo03
192,Nico Collins,HOU,WR,23,1,1,0,0,0,0,0,0,0,,0,3,2,26,13.00,0,0,0,0,,,3,4.6,4.6,3.6,,79,,CollNi00
193,Chris Moore,HOU,WR,29,1,0,0,0,0,0,0,0,0,,0,3,3,31,10.33,0,0,0,0,,,3,6.1,6.1,4.6,,70,,MoorCh00
194,Evan Engram,JAX,TE,28,1,1,0,0,0,0,0,0,0,,0,4,4,28,7.00,0,0,0,0,,,3,6.8,6.8,4.8,,28,,EngrEv00
195,Skyy Moore,KAN,WR,22,1,0,0,0,0,0,0,0,0,,0,1,1,30,30.00,0,0,0,0,,,3,4.0,4.0,3.5,,71,,MoorSk01
196,Raheem Mostert,MIA,RB,30,1,0,0,0,0,0,0,5,16,3.20,0,1,1,16,16.00,0,0,0,0,,,3,4.2,4.2,3.7,,54,,MostRa00
197,Cedrick Wilson Jr.,MIA,WR,27,1,0,0,0,0,0,0,1,8,8.00,0,2,2,20,10.00,0,0,0,0,,,3,4.8,4.8,3.8,,76,,WilsCe01
198,Jonnu Smith,NWE,TE,27,1,1,0,0,0,0,0,0,0,,0,4,3,33,11.00,0,0,0,0,,,3,6.3,6.3,4.8,,26,,SmitJo01
199,Rhamondre Stevenson,NWE,RB,24,1,0,0,0,0,0,0,8,25,3.13,0,2,2,2,1.00,0,0,0,0,,,3,4.7,4.7,3.7,,56,,StevRh00
200,Ben Skowronek,LAR,WR,25,1,1,0,0,0,0,0,0,0,,0,6,4,25,6.25,0,0,0,0,,,3,6.5,6.5,4.5,,81,,SkowBe00
201,Tyler Lockett,SEA,WR,30,1,1,0,0,0,0,0,0,0,,0,4,3,28,9.33,0,0,0,0,,,3,5.8,5.8,4.3,,77,,LockTy00
202,Jeff Wilson,SFO,RB,27,1,0,0,0,0,0,0,9,22,2.44,0,2,2,8,4.00,0,0,0,0,,,3,5.0,5.0,4.0,,55,,WilsJe01
203,Kyle Pitts,ATL,TE,22,1,1,0,0,0,0,0,0,0,,0,7,2,19,9.50,0,0,0,0,,,2,3.9,3.9,2.9,,34,,PittKy00
204,Zack Moss,BUF,RB,25,1,0,0,0,0,0,0,6,15,2.50,0,6,6,21,3.50,0,1,1,0,,,2,7.6,8.6,4.6,,60,,MossZa00
205,Byron Pringle,CHI,WR,29,1,0,0,0,0,0,0,0,0,,0,2,1,22,22.00,0,0,0,0,,,2,3.2,3.2,2.7,,83,,PrinBy00
206,Harrison Bryant,CLE,TE,24,1,0,0,0,0,0,0,0,0,,0,4,2,18,9.00,0,0,0,0,,,2,3.8,3.8,2.8,,36,,BryaHa00
207,Amari Cooper,CLE,WR,28,1,1,0,0,0,0,0,0,0,,0,6,3,17,5.67,0,0,0,0,,,2,4.7,4.7,3.2,,91,,CoopAm00
208,Kylen Granson,IND,TE,24,1,0,0,0,0,0,0,0,0,,0,7,3,22,7.33,0,0,0,0,,,2,5.2,5.2,3.7,,32,,GranKy00
209,Trace McSorley,ARI,QB,27,1,0,2,4,12,0,0,3,20,6.67,0,0,0,0,,0,0,0,0,,,2,2.5,2.5,2.5,,35,,McSoTr00
210,Dennis Houston,DAL,WR,23,1,0,0,0,0,0,0,0,0,,0,5,2,16,8.00,0,0,0,0,,,2,3.6,3.6,2.6,,93,,HousDe01
211,Tony Pollard,DAL,RB,25,1,1,0,0,0,0,0,6,8,1.33,0,2,2,14,7.00,0,0,0,0,,,2,4.2,4.2,3.2,,58,,PollTo00
212,Sammy Watkins,GNB,WR,29,1,1,0,0,0,0,0,0,0,,0,3,3,18,6.00,0,0,0,0,,,2,4.8,4.8,3.3,,90,,WatkSa00
213,Juwann Winfree,GNB,WR,26,1,0,0,0,0,0,0,0,0,,0,1,1,17,17.00,0,0,0,0,,,2,2.7,2.7,2.2,,92,,WinfJu00
214,Pharaoh Brown,HOU,TE,28,1,1,0,0,0,0,0,0,0,,0,1,1,17,17.00,0,0,0,0,,,2,2.7,2.7,2.2,,37,,BrowPh01
215,Johnny Mundt,MIN,TE,28,1,1,0,0,0,0,0,0,0,,0,3,3,17,5.67,0,0,0,0,,,2,4.7,4.7,3.2,,38,,MundJo00
216,Hunter Henry,NWE,TE,28,1,1,0,0,0,0,0,0,0,,0,3,2,20,10.00,0,0,0,0,,,2,4.0,4.0,3.0,,33,,HenrHu00
217,Matt Breida,NYG,RB,27,1,0,0,0,0,0,0,5,24,4.80,0,0,0,0,,0,0,0,0,,,2,2.4,2.4,2.4,,57,,BreiMa00
218,Kenny Golladay,NYG,WR,29,1,1,0,0,0,0,0,0,0,,0,2,2,22,11.00,0,0,0,0,,,2,4.2,4.2,3.2,,84,,GollKe00
219,Kadarius Toney,NYG,WR,23,1,0,0,0,0,0,0,2,23,11.50,0,0,0,0,,0,0,0,0,,,2,2.3,2.3,2.3,,82,,ToneKa00
220,Cody Hollister,TEN,WR,29,1,0,0,0,0,0,0,0,0,,0,1,1,22,22.00,0,0,0,0,,,2,3.2,3.2,2.7,,85,,HollCo00
221,Geoff Swaim,TEN,TE,29,1,1,0,0,0,0,0,0,0,,0,4,3,19,6.33,0,0,0,0,,,2,4.9,4.9,3.4,,35,,SwaiGe00
222,Mack Hollins,LVR,WR,29,1,1,0,0,0,0,0,0,0,,0,1,1,16,16.00,0,0,0,0,,,2,2.6,2.6,2.1,,94,,HollMa00
223,Hunter Renfrow,LVR,WR,27,1,1,0,0,0,0,0,0,0,,0,6,3,21,7.00,0,1,0,0,,,2,5.1,5.1,3.6,,87,,RenfHu00
224,Demarcus Robinson,BAL,WR,28,1,0,0,0,0,0,0,0,0,,0,4,2,19,9.50,0,0,0,0,,,2,3.9,3.9,2.9,,89,,RobiDe01
225,Tre' McKitty,LAC,TE,23,1,0,0,0,0,0,0,0,0,,0,4,3,24,8.00,0,1,0,0,,,2,5.4,5.4,3.9,,30,,McKiTr00
226,Noah Fant,SEA,TE,25,1,1,0,0,0,0,0,0,0,,0,4,3,16,5.33,0,0,0,0,,,2,4.6,4.6,3.1,,39,,FantNo00
227,Marquise Goodwin,SEA,WR,32,1,0,0,0,0,0,0,0,0,,0,2,2,22,11.00,0,0,0,0,,,2,4.2,4.2,3.2,,86,,GoodMa00
228,D.K. Metcalf,SEA,WR,25,1,1,0,0,0,0,0,0,0,,0,7,7,36,5.14,0,1,1,0,,,2,8.6,9.6,5.1,,95,,MetcDK00
